rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-183-org,   elisha, kerslake, 29, goldsborough close, , ringwood north, 4806, qld, 19020708, 34, 02 70611981, 5402131, 1
rec-351-dup-0, georgina, hannink, 109, knoke avenue, s/port yacht-b, leichhardt, 4207, qld, 19920216, , , 5814238, 3
rec-304-dup-0, matthew, boyes, 9, kadina crescent, , whitfield, 4060, nsw, 19660821, , 07 34459589, 3290986, 1
rec-92-org,   caleb, godfrey, 33, embley street, glentryst, burleigh heads, 2877, vic, 19780323, 33, 02 10277132, 4889883, 5
rec-18-org,   lachlan, bloomfield, 28, piddington street, , st kilda east, 2800, vic, 19290708, 34, 04 14120624, 3652064, 4
rec-233-org,   dylan, cureton, 190, woolcock street, , swan view, 4812, vic, 19480205, , 04 67845812, 6057276, 9
rec-292-org,   brigitte, gilkes, 74, pimpampa close, , st albans, 3634, wa, 19990803, 29, 08 35049188, 5839762, 4
rec-62-dup-0, millane, white, 43, louisa lawson crescent, new chum, hendra, 3909, n, 19011120, 38, 04 45790182, 1781061, 7
rec-409-dup-0, kayla, shepherdson, 2, holmes crescent, , burwood east, 6530, , 19000506, 25, 08 30182922, 9808040, 6
rec-179-org,   , arkit, 4, fimister circuit, ferndale, hendra, 4211, wa, , 36, 07 66877244, 5650586, 0
rec-429-dup-0, ella, maczkow iack, 50, illingworth street, , cairns, 6060, vic, 19830712, 40, 03 96784025, 5683499, 0
rec-381-dup-0, hugo, miles, 50, , kojonolokan hills, lilydale, , sa, 19470815, 20, 03 83787696, 5194907, 3
rec-422-dup-0, louis, oats, 5, jessup treet, , thornlands, 4502, qld, 19900913, , 04 94689083, 6219430, 3
rec-235-dup-0, travis, lavender, 17, trickett street, , mount dandenong, 6053, , 19950414, 27, 02 59272399, 6392089, 9
rec-311-org,   ewan, pegg, 155, tauchert street, , eudunda, 3280, wa, 19650126, 20, 03 10111573, 8974417, 5
rec-118-org,   elki, fullerton, 23, pasmore close, , beaudesert, 2190, sa, 19980112, 29, 02 08826258, 5795665, 5
rec-29-dup-0, maddison, yu, 2, throsby crescent, mirani, semaphore park, 4124, vic, 19880328, , 08 92144881, 5472969, 7
rec-297-org,   lucy, jobbins, 18, cowlishaw street, star court arcade, ringwood, 2223, nsw, 19101208, 22, 04 70098450, 5920644, 8
rec-163-org,   jake, clarke, 25, torrens place, , lakemba, 4350, qld, 19360304, 30, 03 10869994, 7567876, 1
rec-161-org,   samuel, blake, 112, cockburn street, , granville, 2611, , 19250123, , 07 57315697, 8572580, 4
rec-339-org,   bethanie, najm, 73, chevalley loop, warra-gan, booval, 3429, , 19360127, 23, 02 46189395, 6716858, 2
rec-391-org,   caitlin, bastiaans, 46, beazley crescent, entwood, paralowie, 6280, sa, 19681030, , 04 95355655, 8084015, 9
rec-487-dup-0, emiily, covino, 7, barlowstreet, , lockleys, 5069, qld, 19500318, 27, , 4901324, 5
rec-467-dup-0, zac, herbvert, 193, sugarloaf circuit, , mitcham, 6055, vic, 19720323, 28, 03 26259650, 2856881, 1
rec-375-org,   jarod, kopecki, 10, dorrit black crescent, , narrandera, 3806, vic, 19280906, , 07 00012746, 2951135, 1
rec-317-org,   marleigh, mccarthy, 38, doughty place, merungie, mooroolbark, 3123, vic, 19300425, 26, 02 99755506, 9227043, 4
rec-472-dup-0, chlod, petersen, 32, tindall place, , cremorne, 3125, vic, 19310515, 24, 08 57746376, 1475552, 4
rec-442-dup-0, jade, petersen, 29, marulda street, wonga sqyare, varley, 4067, tas, , 35, 08 60711620, 4853155, 7
rec-488-dup-0, sebastian, miell, 41, raffertystreet, , stanborough, 4741, vic, 19651120, 35, 07 07472065, 5765157, 3
rec-349-org,   jacinta, reid, 5, lightfoot crescent, , mooroolbark, 4165, vic, 19280529, 34, 07 61408945, 1202212, 4
rec-179-dup-0, , arjit, 4, fimister circuit, ferndale, hendra, 4211, wa, , 36, 07 66877244, 5650586, 0
rec-329-dup-0, taylah, blackwell, 26, tinderry circuit, brentwood vlge, camperd own, 2831, vic, 19911207, 31, 03 98933154, 7805678, 3
rec-34-dup-0, alexandra, center, 5, scrivener street, , cleveland, 3500, qld, 19570817, 27, 04 13226667, 5819316, 0
rec-170-dup-0, michaela, thorpe, 17, boulton close, , belevue hill, 4814, qld, 19750330, 31, 03 88952093, 4948090, 6
rec-1-org,   danielle, yeoman, 1, finlayson place, rosetta village, trevallyn, 5012, act, 19190531, 22, 02 71131657, 1044190, 5
rec-362-org,   claire, spears, 12, o'neill street, , yowie bay, 2210, nsw, 19240308, , 07 75078625, 6370774, 0
rec-307-org,   andrew, hermans, 35, wybalena grove, , joondalup, 3701, qld, 19940422, 33, 07 42329530, 4392196, 1
rec-363-org,   annabel, pawsey, 50, flinders way, , port macquarie, 5267, nsw, 19991013, 24, 03 97866835, 8161383, 5
