rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-1408-org,   samantha, krix, 56, bokhara circuit, boxgrove, wanniassa, 2603, vic, 19060907, 33, , 7084372, 8
rec-337-org,   kiana, white, 162, telopea park, oakdale, melba, 2905, nsw, 19591014, 31, 08 37998395, 9200727, 2
rec-1485-dup-1, kayla, rees, 18, mina wylie crescent, hartley st school, theodore, 2614, nsw, 19481026, , 02 95570255, 9668895, 2
rec-2122-org,   jessica, liddy, 9, barnard circuit, , , 2614, nsw, 19210113, 22, 03 74386407, 9460924, 4
rec-3779-org,   lucas, nguyen, 803, hampton circuit, , giralang, 2913, wa, 19820506, 25, 02 17900663, 1831907, 4
rec-2522-org,   emiily, rogan, 83, emerton street, , hawker, 2615, nsw, 19650701, 32, 02 07812710, 1779297, 8
rec-202-org,   kieren, , 154, grevillea street, innes est, chisholm, 2607, nsw, 19911013, 32, 02 48771389, 1918483, 1
rec-3897-dup-0, christopher, stanbury, 136, worrell place, braeburn, kambah, 2902, qoj, 19660425, 33, 07 69712348, 1397515, 0
rec-134-org,   james, mccarthy, 1, hyndes crescent, inveraray, fadden, 2615, qld, 19520130, 22, 08 24317794, 2192944, 0
rec-1613-org,   samantha, collier, 3, arnold place, , hawker, 2905, nsw, 19660630, 32, 08 18215839, 2674760, 0
rec-3321-org,   chloe, hope, 1, perrin circuit, villa 2, spence, 2615, nsw, 19361129, 22, 08 79727963, 9791457, 1
rec-1014-dup-1, sopihe, bn, 44, outtrim avenue, , hawker, 2905, vic, 19720906, 30, 07 58060686, 7044291, 0
rec-514-org,   jordan, mewett, 6, two sticks road, , reid, 2904, wa, 19540601, 40, 04 39508710, 2212474, 0
rec-1595-org,   lachlan, pikulic, 19, buvelot street, , nicholls, 2615, nsw, 19931223, 35, 08 23192640, 3943329, 7
rec-1398-dup-0, joshua, jolly, 4, kitchener street, weowner, curtin, 2905, vic, 19350309, 25, 04 89624827, 7146337, 2
rec-93-org,   nicholas, mason, 3, lambrigg street, , chisholm, 2617, nsw, 19971126, 31, 04 13987174, 6424793, 7
rec-1358-org,   benjamin, george, 40, horrocks street, , holder, 2615, qld, , , 04 38396085, 1097253, 2
rec-2626-org,   shakira, gilkes, 104, tauss place, anukana, gowrie, 2614, nsw, 19200221, 27, 07 00475996, 5481123, 9
rec-3767-org,   katelyn, coffey, 39, crichton crescent, , palmerston, 2611, nsw, 19710921, 26, 07 12517190, 5028902, 6
rec-1353-org,   , lavender, 88, culgoa circuit, , monash, 2604, qld, 19300509, 33, 08 57901084, 2505254, 8
rec-1731-org,   mia, ryan, 219, , , mawson, 2602, act, 19070319, , 08 56715458, 5813663, 9
rec-2428-org,   alexandra, araya, 28, summerland circuit, wonkinya, dickson, 2612, , 19110214, 23, 02 67984062, 8529840, 8
